d_min,d_max,IT5,IT6,IT7,IT8,IT9,IT10,IT11
0,3,4,6,10,14,25,40,60
3,6,5,8,12,18,30,48,75
6,10,6,9,15,22,36,58,90
10,18,8,11,18,27,43,70,110
18,30,9,13,21,33,52,84,130
30,50,11,16,25,39,62,100,160
50,80,13,19,30,46,74,120,190
80,120,15,22,35,54,87,140,220
120,180,18,25,40,63,100,160,250
180,250,20,29,46,72,115,185,290
250,315,23,32,52,81,130,210,320
315,400,25,36,57,89,140,230,360
400,500,27,40,63,97,155,250,400
500,630,32,44,70,110,175,280,440
630,800,36,50,80,125,200,320,500
800,1000,40,56,90,140,230,360,560
1000,1250,47,66,105,165,260,420,660
1250,1600,55,78,125,195,310,500,780
1600,2000,65,92,150,230,370,600,920
2000,2500,78,110,175,280,440,700,1100
2500,3150,96,135,210,330,540,860,1350
