min,max,0,1,2,3,4,4,6,7,8,9,10,11,12,13,14,15,16,17,18
0,3,0.0005,0.0008,0.0012,0.002,0.003,0.004,0.006,0.01,0.014,0.025,0.04,0.06,0.1,0.14,0.25,0.4,0.6,1,1.4
3,6,0.0006,0.001,0.0015,0.0025,0.004,0.005,0.008,0.012,0.018,0.03,0.048,0.075,0.12,0.18,0.3,0.48,0.75,1.2,1.8
6,10,0.0006,0.001,0.0015,0.0025,0.004,0.006,0.009,0.015,0.022,0.036,0.058,0.09,0.15,0.22,0.36,0.58,0.9,1.5,2.2
10,18,0.0008,0.0012,0.002,0.003,0.005,0.008,0.011,0.018,0.027,0.043,0.07,0.11,0.18,0.27,0.43,0.7,,1.8,2.7
18,30,0.001,0.0015,0.0025,0.004,0.006,0.009,0.013,0.021,0.033,0.052,0.084,0.13,0.21,0.33,0.52,0.84,1.3,2.1,3.3
30,50,0.001,0.0015,0.0025,0.004,0.007,0.011,0.016,0.025,0.039,0.062,0.1,0.16,0.25,0.39,0.62,1,1.6,2.5,3.9
50,80,0.0012,0.002,0.003,0.005,0.008,0.013,0.019,0.03,0.046,0.074,0.12,0.19,0.3,0.46,0.74,1.2,1.9,3,4.6
80,120,0.0015,0.0025,0.004,0.006,0.01,0.015,0.022,0.035,0.054,0.087,0.14,0.22,0.35,0.54,0.87,1.4,2.2,3.5,5.4
120,180,0.002,0.0035,0.005,0.008,0.012,0.018,0.025,0.04,0.063,0.1,0.16,0.25,0.4,0.63,1,1.6,2.5,4,6.3
180,250,0.003,0.0045,0.007,0.01,0.014,0.02,0.029,0.046,0.072,0.115,0.185,0.29,0.46,0.72,1.15,1.85,2.9,4.6,7.2
250,315,0.004,0.006,0.008,0.012,0.016,0.023,0.032,0.052,0.081,0.13,0.21,0.32,0.52,0.81,1.3,2.1,3.2,5.2,8.1
315,400,0.005,0.007,0.009,0.013,0.018,0.025,0.036,0.057,0.089,0.14,0.23,0.36,0.57,0.89,1.4,2.3,3.6,5.7,8.9
400,500,0.006,0.008,0.01,0.015,0.02,0.027,0.04,0.063,0.097,0.155,0.25,0.4,0.63,0.97,1.55,2.5,4,6.3,9.7
500,630,0.006,0.009,0.011,0.016,0.022,0.032,0.044,0.07,0.11,0.175,0.28,0.44,0.7,1.1,1.75,2.8,4.4,7,11
630,800,0.007,0.01,0.013,0.018,0.025,0.036,0.05,0.08,0.125,0.2,0.32,0.5,0.8,1.25,2,3.2,5,8,12.5
800,1000,0.008,0.011,0.015,0.021,0.028,0.04,0.056,0.09,0.14,0.23,0.36,0.56,0.9,1.4,2.3,3.6,5.6,9,14
1000,1250,0.009,0.013,0.018,0.024,0.033,0.047,0.066,0.105,0.165,0.26,0.42,0.66,1.05,1.65,2.6,4.2,6.6,10.5,16.5
1250,1600,0.011,0.015,0.021,0.029,0.039,0.055,0.078,0.125,0.195,0.31,0.5,0.78,1.25,1.95,3.1,5,7.8,12.5,19.5
1600,2000,0.013,0.018,0.025,0.035,0.046,0.065,0.092,0.15,0.23,0.37,0.6,0.92,1.5,2.3,3.7,6,9.2,15,23
2000,2500,0.015,0.022,0.03,0.041,0.055,0.078,0.11,0.175,0.28,0.44,0.7,1.1,1.75,2.8,4.4,7,11,17.5,28
2500,3150,0.018,0.026,0.036,0.05,0.068,0.096,0.135,0.21,0.33,0.54,0.86,1.35,2.1,3.3,5.4,8.6,13.5,21,33
